name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;266;0;564;3049;1776;3049;1501;0
header;202;113;202;148;1832;148;1832;113
A;1008;184;1008;207;1028;207;1028;184
A;1515;826;1515;838;1522;838;1522;826
A;1184;846;1184;848;1186;848;1186;846
B;1017;850;1017;879;1038;879;1038;850
A;1372;1193;1372;1205;1379;1205;1379;1193
B;846;1411;846;1431;862;1431;862;1411
C;614;1413;614;1432;630;1432;630;1413
C;1018;1521;1018;1550;1039;1550;1039;1521
A;995;1558;995;1572;1003;1572;1003;1558
A;1279;1650;1279;1661;1286;1661;1286;1650
A;1522;1673;1522;1673;1522;1673;1522;1673
B;925;1682;925;1701;940;1701;940;1682
B;701;1863;701;1881;716;1881;716;1863
B;709;2043;709;2061;724;2061;724;2043
A;1483;2179;1483;2180;1483;2180;1483;2179
D;1026;2209;1026;2236;1047;2236;1047;2209
B;1169;2283;1169;2301;1183;2301;1183;2283
A;833;2296;833;2306;839;2306;839;2296
B;1484;2450;1484;2475;1513;2475;1513;2450
A;1380;2471;1380;2483;1387;2483;1387;2471
A;1586;2855;1586;2870;1593;2870;1593;2855
B;1260;2856;1260;2871;1268;2871;1268;2856
A;869;2891;869;2893;871;2893;871;2891
A;780;2941;780;2941;780;2941;780;2941
