name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;692;0;532;3039;1055;3039;1055;0
header;194;144;194;181;1836;181;1836;144
A;994;209;994;236;1016;236;1016;209
B;778;624;778;643;792;643;792;624
A;1034;836;1034;836;1034;836;1034;836
B;996;882;996;910;1017;910;1017;882
A;841;1290;841;1295;845;1295;845;1290
B;790;1354;790;1373;805;1373;805;1354
C;1002;1546;1002;1575;1023;1575;1023;1546
B;650;1716;650;1735;664;1735;664;1716
D;1013;2211;1013;2238;1033;2238;1033;2211
B;902;2378;902;2393;912;2393;912;2378
A;604;2379;604;2394;614;2394;614;2379
A;663;2434;663;2434;665;2434;665;2434
